Id,District,Address,Number,Area,Rent,Bedrooms,Sq.Mt,Floor,Outer,Elevator,Penthouse,Cottage,Duplex,Semidetached,Cluster
1,Ciudad Lineal,Piso en Quintana,,Quintana,1300,2.0,72,3.0,1.0,1.0,0,0,0,0,3
2,Ciudad Lineal,Piso en calle de Arturo Soria,,Costillares,3000,5.0,260,2.0,1.0,1.0,0,0,0,0,3
3,Ciudad Lineal,Piso en calle de Vicente Muzas,4,Colina,1300,2.0,100,3.0,1.0,1.0,0,0,0,0,3
4,Ciudad Lineal,Piso en calle Badajoz,,San Pascual,1600,3.0,120,4.0,1.0,1.0,0,0,0,0,3
5,Ciudad Lineal,Piso en calle de Nuestra Señora del Villar,9,Ventas,800,2.0,60,3.0,1.0,0.0,0,0,0,0,3
6,Ciudad Lineal,Ático en calle José Silva,,San Juan Bautista,1850,3.0,101,5.0,1.0,1.0,1,0,0,0,3
7,Ciudad Lineal,Piso en Virgen de Lourdes,,Concepción,850,1.0,60,3.0,1.0,1.0,0,0,0,0,3
9,Ciudad Lineal,Piso en calle Jazmín,17,Costillares,850,1.0,52,1.0,1.0,1.0,0,0,0,0,3
10,Ciudad Lineal,Piso en general aranaz,,Concepción,1900,3.0,190,1.0,1.0,1.0,0,0,0,0,3
12,Ciudad Lineal,Estudio en Costillares,,Costillares,780,,40,2.0,0.0,1.0,0,0,0,0,3
13,Ciudad Lineal,Piso en calle Virgen de los Reyes,,Concepción,1300,3.0,90,1.0,1.0,1.0,0,0,0,0,3
14,Ciudad Lineal,Dúplex en calle Diego Ayllón,,San Juan Bautista,3200,5.0,280,3.0,1.0,1.0,0,0,1,0,3
15,Ciudad Lineal,Piso en calle de Arturo Soria,,San Pascual,1700,3.0,130,1.0,1.0,1.0,0,0,0,0,3
16,Ciudad Lineal,Ático en calle natalia de silva,1,Concepción,990,2.0,70,3.0,1.0,1.0,1,0,0,0,3
17,Ciudad Lineal,Piso en calle miguel de la iglesia,,Concepción,1070,2.0,80,1.0,1.0,1.0,0,0,0,0,3
18,Ciudad Lineal,Piso en calle miguel de la iglesia,,Concepción,870,2.0,63,2.0,1.0,1.0,0,0,0,0,3
19,Ciudad Lineal,Piso en calle miguel de la iglesia,,Concepción,870,3.0,63,3.0,1.0,1.0,0,0,0,0,3
20,Ciudad Lineal,Piso en Ventas,,Ventas,830,1.0,60,3.0,1.0,1.0,0,0,0,0,3
21,Ciudad Lineal,Piso en calle Caribe,,San Pascual,2500,3.0,195,3.0,1.0,1.0,0,0,0,0,3
22,Ciudad Lineal,Dúplex en Angelita Cavero,,San Pascual,2200,2.0,200,3.0,1.0,1.0,0,0,1,0,3
23,Ciudad Lineal,Piso en Virgen de los reyes,,Concepción,1300,3.0,100,1.0,1.0,1.0,0,0,0,0,3
24,Ciudad Lineal,Piso en calle Emilio Ferrari,,Pueblo Nuevo,800,3.0,72,4.0,1.0,1.0,0,0,0,0,3
25,Ciudad Lineal,Ático en calle josé silva,19,San Juan Bautista,1650,3.0,101,5.0,1.0,1.0,1,0,0,0,3
27,Ciudad Lineal,Piso en calle de Carlota Oâ€™Neill,,San Pascual,1100,1.0,45,4.0,1.0,1.0,0,0,0,0,3
28,Ciudad Lineal,Piso en calle de manipa,48,Concepción,790,2.0,63,2.0,1.0,0.0,0,0,0,0,3
29,Ciudad Lineal,Piso en calle de arturo soria,,San Juan Bautista,1450,2.0,87,3.0,1.0,1.0,0,0,0,0,3
30,Ciudad Lineal,Piso en calle Virgen de Lourdes,24,Concepción,850,1.0,60,3.0,1.0,1.0,0,0,0,0,3
31,Ciudad Lineal,Piso en calle de luis carlos vázquez,,San Juan Bautista,2000,3.0,164,2.0,1.0,1.0,0,0,0,0,3
32,Ciudad Lineal,Piso en calle piquer,,Atalaya,2800,4.0,200,4.0,1.0,1.0,0,0,0,0,3
33,Ciudad Lineal,Piso en Añastro,,Atalaya,3200,5.0,215,2.0,1.0,1.0,0,0,0,0,3
34,Ciudad Lineal,Piso en calle de Caleruega,,Costillares,1250,2.0,91,4.0,1.0,1.0,0,0,0,0,3
35,Ciudad Lineal,Piso en calle de los Hermanos García Noblejas,,Pueblo Nuevo,1100,3.0,100,1.0,1.0,1.0,0,0,0,0,3
36,Ciudad Lineal,Piso en Arturo Soria,,Concepción,1200,2.0,70,3.0,1.0,1.0,0,0,0,0,3
37,Ciudad Lineal,Piso en emilio ferrari,,Pueblo Nuevo,850,3.0,75,4.0,1.0,1.0,0,0,0,0,3
39,Ciudad Lineal,Ático en calle vicente muzas,,Colina,800,2.0,70,5.0,1.0,1.0,1,0,0,0,3
40,Ciudad Lineal,Ático en Arturo Soria,,Concepción,3000,5.0,400,4.0,1.0,1.0,1,0,0,0,3
42,Ciudad Lineal,Piso en calle de Ulises,14,San Juan Bautista,1900,3.0,160,3.0,1.0,1.0,0,0,0,0,3
43,Ciudad Lineal,Piso en avenida de Trueba,44,Pueblo Nuevo,915,3.0,95,1.0,1.0,1.0,0,0,0,0,3
44,Ciudad Lineal,Piso en calle de josé del hierro,62,Quintana,1000,3.0,90,3.0,1.0,1.0,0,0,0,0,3
45,Ciudad Lineal,Dúplex en calle Angelita Cavero,20,San Pascual,2200,2.0,200,3.0,1.0,1.0,0,0,1,0,3
47,Ciudad Lineal,Piso en calle de arturo soria,246,Atalaya,1500,2.0,90,1.0,1.0,1.0,0,0,0,0,3
49,Ciudad Lineal,Piso en Quintana,,Quintana,1750,4.0,147,1.0,1.0,1.0,0,0,0,0,3
50,Ciudad Lineal,Piso en Atalaya,,Atalaya,3000,4.0,316,2.0,1.0,1.0,0,0,0,0,3
51,Ciudad Lineal,Piso en Costillares,,Costillares,1900,3.0,180,4.0,1.0,1.0,0,0,0,0,3
53,Ciudad Lineal,Dúplex en San Juan Bautista,,San Juan Bautista,3200,3.0,330,3.0,1.0,1.0,0,0,1,0,3
54,Ciudad Lineal,Dúplex en San Juan Bautista,,San Juan Bautista,3200,5.0,330,3.0,1.0,1.0,0,0,1,0,3
55,Ciudad Lineal,Dúplex en calle de arturo soria,,Concepción,3000,4.0,405,4.0,1.0,1.0,0,0,1,0,3
56,Ciudad Lineal,Piso en sor maría de agreda,4,Ventas,680,1.0,55,3.0,1.0,1.0,0,0,0,0,3
57,Ciudad Lineal,Dúplex en calle Francisco Huesca,,Ventas,750,1.0,45,2.0,1.0,1.0,0,0,1,0,3
58,Ciudad Lineal,Dúplex en calle de Boldano,31,Quintana,1200,1.0,106,3.0,1.0,1.0,0,0,1,0,3
59,Ciudad Lineal,Piso en Virgen del Coro,,Concepción,875,2.0,69,3.0,1.0,1.0,0,0,0,0,3
60,Ciudad Lineal,Piso en calle caribe,,San Pascual,2500,3.0,170,5.0,1.0,1.0,0,0,0,0,3
61,Ciudad Lineal,Piso en Atalaya,,Atalaya,2950,5.0,210,2.0,1.0,1.0,0,0,0,0,3
62,Ciudad Lineal,Piso en Costillares,,Costillares,3100,4.0,272,1.0,1.0,1.0,0,0,0,0,3
63,Ciudad Lineal,Piso en Concepción,,Concepción,1235,3.0,122,,,,0,0,0,0,3
64,Ciudad Lineal,Piso en Concepción,,Concepción,1235,3.0,122,,,,0,0,0,0,3
65,Ciudad Lineal,Piso en Colina,,Colina,950,1.0,66,1.0,1.0,1.0,0,0,0,0,3
67,Ciudad Lineal,Piso en calle de Zigia,,Quintana,750,1.0,49,0.0,1.0,0.0,0,0,0,0,3
68,Ciudad Lineal,Piso en Colina,,Colina,950,1.0,69,3.0,1.0,1.0,0,0,0,0,3
70,Ciudad Lineal,Piso en calle Diego Ayllón,11,San Juan Bautista,1900,3.0,145,1.0,1.0,1.0,0,0,0,0,3
71,Ciudad Lineal,Estudio en calle Juan Pascual,,Pueblo Nuevo,625,,30,0.0,1.0,1.0,0,0,0,0,3
72,Ciudad Lineal,Piso en avenida de Badajoz,23,San Pascual,1600,3.0,120,4.0,1.0,1.0,0,0,0,0,3
73,Ciudad Lineal,Piso en calle Nuestra Señora del Villar,73,Ventas,800,2.0,63,3.0,1.0,0.0,0,0,0,0,3
74,Ciudad Lineal,Piso en plaza de Vilaflor,6,Pueblo Nuevo,700,1.0,55,1.0,1.0,0.0,0,0,0,0,3
75,Ciudad Lineal,Piso en calle Rafael Bergamín,5,San Juan Bautista,1275,2.0,85,5.0,1.0,1.0,0,0,0,0,3
